,Collection,BrandLine,Material,StyleCode,GridValue,Style,Region,Size,Color,Month,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName
94,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2024-07,30.0,black,shiny,0.0,Sun,Calvin Klein
95,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2024-08,6.0,black,shiny,0.0,Sun,Calvin Klein
96,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2023-09,38.0,brown,shiny,0.0,Sun,Calvin Klein
97,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2023-10,44.0,brown,shiny,0.0,Sun,Calvin Klein
98,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2023-11,38.0,brown,shiny,0.0,Sun,Calvin Klein
99,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2023-12,46.0,brown,shiny,0.0,Sun,Calvin Klein
100,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2024-01,25.0,brown,shiny,0.0,Sun,Calvin Klein
101,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2024-02,15.0,brown,shiny,0.0,Sun,Calvin Klein
102,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2024-03,12.0,brown,shiny,0.0,Sun,Calvin Klein
103,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2024-04,32.0,brown,shiny,0.0,Sun,Calvin Klein
104,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2024-05,50.0,brown,shiny,0.0,Sun,Calvin Klein
105,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2024-06,31.0,brown,shiny,0.0,Sun,Calvin Klein
106,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2024-07,45.0,brown,shiny,0.0,Sun,Calvin Klein
107,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,AMER,55,BROWN HA,2024-08,26.0,brown,shiny,0.0,Sun,Calvin Klein
108,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2023-09,12.0,brown,shiny,0.0,Sun,Calvin Klein
109,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2023-10,8.0,brown,shiny,0.0,Sun,Calvin Klein
110,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2023-11,11.0,brown,shiny,0.0,Sun,Calvin Klein
111,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2023-12,5.0,brown,shiny,0.0,Sun,Calvin Klein
112,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2024-01,24.0,brown,shiny,0.0,Sun,Calvin Klein
113,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2024-02,29.0,brown,shiny,0.0,Sun,Calvin Klein
114,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2024-03,33.0,brown,shiny,0.0,Sun,Calvin Klein
115,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2024-04,17.0,brown,shiny,0.0,Sun,Calvin Klein
116,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2024-05,13.0,brown,shiny,0.0,Sun,Calvin Klein
117,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2024-06,7.0,brown,shiny,0.0,Sun,Calvin Klein
118,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2024-07,6.0,brown,shiny,0.0,Sun,Calvin Klein
119,KC,CALVIN KLEIN SUN,59389,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA,55,BROWN HA,2024-08,5.0,brown,shiny,0.0,Sun,Calvin Klein
120,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2023-09,8.0,blue,shiny,0.0,Sun,Calvin Klein
121,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2023-10,7.0,blue,shiny,0.0,Sun,Calvin Klein
122,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2023-11,9.0,blue,shiny,0.0,Sun,Calvin Klein
123,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2023-12,6.0,blue,shiny,0.0,Sun,Calvin Klein
124,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2024-01,4.0,blue,shiny,0.0,Sun,Calvin Klein
125,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2024-02,5.0,blue,shiny,0.0,Sun,Calvin Klein
126,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2024-03,9.0,blue,shiny,0.0,Sun,Calvin Klein
127,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2024-04,9.0,blue,shiny,0.0,Sun,Calvin Klein
128,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2024-05,9.0,blue,shiny,0.0,Sun,Calvin Klein
129,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2024-06,3.0,blue,shiny,0.0,Sun,Calvin Klein
130,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2024-07,4.0,blue,shiny,0.0,Sun,Calvin Klein
131,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,AMER,55,AVIO,2024-08,8.0,blue,shiny,0.0,Sun,Calvin Klein
132,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2023-09,5.0,blue,shiny,0.0,Sun,Calvin Klein
133,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2023-10,3.0,blue,shiny,0.0,Sun,Calvin Klein
134,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2023-11,8.0,blue,shiny,0.0,Sun,Calvin Klein
135,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2023-12,0,blue,shiny,0.0,Sun,Calvin Klein
136,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2024-01,11.0,blue,shiny,0.0,Sun,Calvin Klein
137,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2024-02,20.0,blue,shiny,0.0,Sun,Calvin Klein
138,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2024-03,18.0,blue,shiny,0.0,Sun,Calvin Klein
139,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2024-04,17.0,blue,shiny,0.0,Sun,Calvin Klein
140,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2024-05,10.0,blue,shiny,0.0,Sun,Calvin Klein
141,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2024-06,5.0,blue,shiny,0.0,Sun,Calvin Klein
142,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2024-07,5.0,blue,shiny,0.0,Sun,Calvin Klein
143,KC,CALVIN KLEIN SUN,59389,CK21529S,5516435,CK21529S/55/AVIO,EMEA,55,AVIO,2024-08,5.0,blue,shiny,0.0,Sun,Calvin Klein
144,KC,CALVIN KLEIN SUN,59389,CK21529S,5516601,CK21529S/55/ROSE,AMER,55,ROSE,2023-09,6.0,pink,shiny,0.0,Sun,Calvin Klein
