,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor,Date,Glasses_3m_avg_x,Sunglasses_3m_avg_x,acetate frame glasses_x,Calvin Klein frames_x,FSA glasses_x,Lacoste frames_x,metal frame glasses_x,Nike frames_x,Glasses_3m_avg_y,Sunglasses_3m_avg_y,acetate frame glasses_y,Calvin Klein frames_y,FSA glasses_y,Lacoste frames_y,metal frame glasses_y,Nike frames_y
38,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640G1,U,Full,Sun,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,235,DARK HAVANA,CHINA ONLY,"99,50","82,00",CK24538S,,"199,00",CLASSIC,P-3,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
39,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640G1,U,Full,Sun,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,255,HONEY HAVANA/HONEY,CHINA ONLY,"99,50","82,00",CK24538S,,"199,00",CLASSIC,P-3,,tortoise,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
40,Sun,4,"150,00",CALVIN KLEIN - SEP 2024,E11400A1,U,Full,Sun,53-18-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,BIO INJ-G820,1,BLACK,VIETNAM ONLY,"82,50","68,00",CK24539S,Sustainable style,"165,00",MODERN,Oval,,black,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
41,Sun,4,"150,00",CALVIN KLEIN - SEP 2024,E11400A1,U,Full,Sun,53-18-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,BIO INJ-G820,235,DARK HAVANA,VIETNAM ONLY,"82,50","68,00",CK24539S,Sustainable style,"165,00",MODERN,Oval,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
42,Sun,4,"150,00",CALVIN KLEIN - SEP 2024,E11400A1,U,Full,Sun,53-18-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,BIO INJ-G820,261,CARAMEL,VIETNAM ONLY,"82,50","68,00",CK24539S,Sustainable style,"165,00",MODERN,Oval,,other,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
43,Sun,4,"150,00",CALVIN KLEIN - SEP 2024,E11400A1,U,Full,Sun,53-18-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,BIO INJ-G820,413,AZURE,VIETNAM ONLY,"82,50","68,00",CK24539S,Sustainable style,"165,00",MODERN,Oval,,blue,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
44,Optical,4,"195,00",CALVIN KLEIN - SEP 2024,E8963D1,F,Full,Optical,55-17-140,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,41,SILVER/BLACK,CHINA ONLY,"93,00","71,50",CK24112,,"250,00",AVANTGARDE,Square,,silver,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
45,Optical,4,"195,00",CALVIN KLEIN - SEP 2024,E8963D1,F,Full,Optical,55-17-140,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,719,GOLD/IVORY,CHINA ONLY,"93,00","71,50",CK24112,,"250,00",AVANTGARDE,Square,,gold,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
46,Optical,4,"195,00",CALVIN KLEIN - SEP 2024,E8963D1,F,Full,Optical,55-17-140,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,772,ROSE GOLD/LAVANDER,CHINA ONLY,"93,00","71,50",CK24112,,"250,00",AVANTGARDE,Square,,gold,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
47,Optical,4,"195,00",CALVIN KLEIN - SEP 2024,E8963D1,F,Full,Optical,55-17-140,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,783,AMBER GOLD/NUDE,CHINA ONLY,"93,00","71,50",CK24112,,"250,00",AVANTGARDE,Square,,gold,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
48,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965A2,M,Full,Optical,50-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,25,GREY HAVANA,CHINA ONLY,"92,50","71,00",CK24113,Potential ADV,"250,00",CLASSIC,Rectangle,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
49,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965A2,M,Full,Optical,50-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,235,DARK HAVANA,CHINA ONLY,"92,50","71,00",CK24113,Potential ADV,"250,00",CLASSIC,Rectangle,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
50,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965A2,M,Full,Optical,50-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,240,HAVANA,CHINA ONLY,"92,50","71,00",CK24113,Potential ADV,"250,00",CLASSIC,Rectangle,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
51,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965A2,M,Full,Optical,50-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,265,BLONDE HAVANA,CHINA ONLY,"92,50","71,00",CK24113,Potential ADV,"250,00",CLASSIC,Rectangle,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
52,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965C1,U,Full,Optical,49-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,False,METAL,25,GREY HAVANA,CHINA ONLY,"92,50","71,00",CK24114,ADV; Brand DNA,"250,00",CLASSIC,Round,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
53,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965C1,U,Full,Optical,49-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,False,METAL,235,DARK HAVANA,CHINA ONLY,"92,50","71,00",CK24114,Potential ADV; Brand DNA,"250,00",CLASSIC,Round,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
54,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965C1,U,Full,Optical,49-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,False,METAL,265,BLONDE HAVANA,CHINA ONLY,"92,50","71,00",CK24114,Potential ADV; Brand DNA,"250,00",CLASSIC,Round,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
55,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E11427A1,U,Full,Optical,49-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,45,SILVER,CHINA ONLY,"92,50","71,00",CK24115,,"250,00",CLASSIC,Oval,,silver,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
56,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E11427A1,U,Full,Optical,49-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,717,GOLD,CHINA ONLY,"92,50","71,00",CK24115,,"250,00",CLASSIC,Oval,,gold,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
57,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E11427A1,U,Full,Optical,49-19-145,UNIVERSAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,770,ROSE GOLD,CHINA ONLY,"92,50","71,00",CK24115,,"250,00",CLASSIC,Oval,,gold,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
58,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8223H1,M,Full,Optical,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"92,50","71,00",CK24540,,"250,00",AVANTGARDE,Rectangle,,black,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
