,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor
40,Sun,4,"150,00",CALVIN KLEIN - SEP 2024,E11400A1,U,FULL RIM,Sun,53-18-145,GLOBAL,Calvin Klein,BIO INJ-G820,CALVIN KLEIN,True,BIO INJ-G820,1,BLACK,VIETNAM ONLY,"82,50","68,00",CK24539S,Sustainable style,"165,00",MODERN,OVAL,,black,shiny,0
41,Sun,4,"150,00",CALVIN KLEIN - SEP 2024,E11400A1,U,FULL RIM,Sun,53-18-145,GLOBAL,Calvin Klein,BIO INJ-G820,CALVIN KLEIN,True,BIO INJ-G820,235,DARK HAVANA,VIETNAM ONLY,"82,50","68,00",CK24539S,Sustainable style,"165,00",MODERN,OVAL,,tortoise,shiny,0
42,Sun,4,"150,00",CALVIN KLEIN - SEP 2024,E11400A1,U,FULL RIM,Sun,53-18-145,GLOBAL,Calvin Klein,BIO INJ-G820,CALVIN KLEIN,True,BIO INJ-G820,261,CARAMEL,VIETNAM ONLY,"82,50","68,00",CK24539S,Sustainable style,"165,00",MODERN,OVAL,,other,shiny,0
43,Sun,4,"150,00",CALVIN KLEIN - SEP 2024,E11400A1,U,FULL RIM,Sun,53-18-145,GLOBAL,Calvin Klein,BIO INJ-G820,CALVIN KLEIN,True,BIO INJ-G820,413,AZURE,VIETNAM ONLY,"82,50","68,00",CK24539S,Sustainable style,"165,00",MODERN,OVAL,,blue,shiny,0
44,Optical,4,"195,00",CALVIN KLEIN - SEP 2024,E8963D1,F,FULL RIM,Optical,55-17-140,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,41,SILVER/BLACK,CHINA ONLY,"93,00","71,50",CK24112,,"250,00",AVANTGARDE,SQUARE,,silver,shiny,1
45,Optical,4,"195,00",CALVIN KLEIN - SEP 2024,E8963D1,F,FULL RIM,Optical,55-17-140,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,719,GOLD/IVORY,CHINA ONLY,"93,00","71,50",CK24112,,"250,00",AVANTGARDE,SQUARE,,gold,shiny,1
46,Optical,4,"195,00",CALVIN KLEIN - SEP 2024,E8963D1,F,FULL RIM,Optical,55-17-140,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,772,ROSE GOLD/LAVANDER,CHINA ONLY,"93,00","71,50",CK24112,,"250,00",AVANTGARDE,SQUARE,,gold,shiny,1
47,Optical,4,"195,00",CALVIN KLEIN - SEP 2024,E8963D1,F,FULL RIM,Optical,55-17-140,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,783,AMBER GOLD/NUDE,CHINA ONLY,"93,00","71,50",CK24112,,"250,00",AVANTGARDE,SQUARE,,gold,shiny,1
48,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965A2,M,FULL RIM,Optical,50-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,25,GREY HAVANA,CHINA ONLY,"92,50","71,00",CK24113,Potential ADV,"250,00",CLASSIC,MODIFIED RECTANGLE,,tortoise,shiny,0
49,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965A2,M,FULL RIM,Optical,50-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,235,DARK HAVANA,CHINA ONLY,"92,50","71,00",CK24113,Potential ADV,"250,00",CLASSIC,MODIFIED RECTANGLE,,tortoise,shiny,0
50,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965A2,M,FULL RIM,Optical,50-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,240,HAVANA,CHINA ONLY,"92,50","71,00",CK24113,Potential ADV,"250,00",CLASSIC,MODIFIED RECTANGLE,,tortoise,shiny,0
51,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965A2,M,FULL RIM,Optical,50-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,265,BLONDE HAVANA,CHINA ONLY,"92,50","71,00",CK24113,Potential ADV,"250,00",CLASSIC,MODIFIED RECTANGLE,,tortoise,shiny,0
52,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965C1,U,FULL RIM,Optical,49-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,False,METAL,25,GREY HAVANA,CHINA ONLY,"92,50","71,00",CK24114,ADV; Brand DNA,"250,00",CLASSIC,ROUND,,tortoise,shiny,0
53,Optical,4,"190,00",CALVIN KLEIN - SEP 2024,E8965C1,U,FULL RIM,Optical,49-19-145,UNIVERSAL,Calvin Klein,METAL,CALVIN KLEIN,False,METAL,235,DARK HAVANA,CHINA ONLY,"92,50","71,00",CK24114,Potential ADV; Brand DNA,"250,00",CLASSIC,ROUND,,tortoise,shiny,0
